Cristiano Ronaldo dos Santos Aveiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Silvio Ezequiel Romero can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Islam Slimani can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Edgar Antonio Méndez Ortega can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrés Chávez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sabin Merino Zuloaga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hélton Luiz Celanova Vieira can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erick Ronaldo Gameira Carvalho can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matheus Jadson Vidigal Morais can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nuno Miguel da Costa Jóia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fernando Matías Zampedri can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Douglas Chagas Matos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Makhete Diop can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Enrique Gallego Puigsech can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erling Braut Håland can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Javier Puado Díaz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dawid Kownacki can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Okereke can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anastasios Donis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mariusz Stępiński can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Chuba Akpom can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Peter Oladeji Olayinka can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Franco Soldano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jhonder Leonel Cádiz Fernández can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alexander Sørloth can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Isaac Success can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Steve Mounié can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Umut Bozok can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juan Dinenno can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marc Navarro Ceciliano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Amaral Alves Marcos Vinicius can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Roman Yaremchuk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Enzo Crivelli can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Walter Ariel Bou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yaya Sanogo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ahmed Hassan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Olarenwaju Ayoba Kayode can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kenan Karaman can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonathan Agudelo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michael Santos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jamiro Gregory Monteiro Alvarenga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Robert Glatzel can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mick van Buren can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mikael Ishak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
황의조 Ui Jo Hwang can substitute for the position ls, Left striking position, which is a(n) attacker position. 
